//fileLoc: inputData/dem20x20.png
//fluxMulti: 3.0 channelCutOff: 20
# 602

p 411 9 92.069
p 411 8 93.04638
p 412 7 96.37315
p 412 6 98.04714

c 8 92.244156
p 402 78 32.216755
p 403 78 32.216755
p 403 77 33.258278
p 404 76 33.258278
p 405 75 34.2335
p 406 76 34.2335
p 407 75 35.36427
p 408 74 35.36427
p 409 74 35.469646
p 410 73 36.067562
p 411 73 36.46029
p 412 72 37.36891
p 413 72 37.36891
p 414 71 39.092754
p 415 71 39.164383
p 416 70 39.41556
p 416 69 40.01229
p 417 68 41.437798
p 418 67 41.437798
p 419 66 42.43611
p 420 65 43.193554
p 421 65 43.29174
p 422 64 44.10447
p 423 63 45.129124
p 424 64 46.09259
p 425 64 46.41786
p 426 65 46.41786
p 427 65 48.22306
p 428 65 50.49753
p 429 64 51.066975
p 430 64 54.08565
p 431 65 56.060024
p 432 66 57.44101
p 433 67 58.057262
p 434 67 58.13416
p 435 68 60.123085
p 436 67 63.10401
p 437 66 66.381966
p 438 66 69.17401
p 439 65 71.07301
p 440 64 74.2624
p 441 64 78.326355
p 442 63 80.34139
p 443 62 82.19232
p 444 62 84.4994
p 445 62 87.39116
p 446 62 88.38284
p 447 61 90.29642
p 448 61 92.42203
p 449 60 95.19979
p 450 59 98.018715
p 451 60 99.28632
p 452 60 101.426506
p 453 59 104.160614
p 454 58 106.17221
p 455 58 106.349976
p 456 58 108.2945
p 457 57 111.1353
p 458 56 113.09032
p 459 56 115.005356
p 460 56 117.45584
p 461 55 119.046
p 462 54 121.23465
p 463 54 123.47665
p 464 53 124.46091

c 9 45.791714
p 405 28 60.48406
p 406 27 62.00525
p 407 26 63.130287
p 407 25 64.338356
p 408 24 66.26899
p 409 23 68.30586
p 409 22 70.415
p 410 21 73.30107
p 411 20 74.21105
p 411 19 75.09045
p 412 18 78.2014
p 412 17 79.02275
p 413 16 81.30036
p 414 15 84.38826
p 415 14 88.11765
p 416 13 91.03432
p 417 12 94.37661
p 418 11 97.35448
p 419 10 100.03514
p 420 11 103.06114
p 421 10 106.27577

c 10 52.13566
p 406 111 19.170626
p 407 111 19.170626
p 408 110 20.166183
p 409 109 20.166183
p 410 108 21.101305
p 411 107 22.016224
p 412 106 22.459745
p 413 105 23.028769
p 414 104 24.026745
p 415 104 24.07572
p 416 105 25.388952
p 417 104 26.447285
p 418 104 27.184603
p 419 103 28.083736
p 420 102 29.158518
p 421 102 30.25705
p 422 101 31.100933
p 422 100 32.193356
p 422 99 32.193356
p 423 98 32.440365
p 424 97 34.138794
p 425 97 36.368874
p 426 96 37.090443
p 427 97 37.407475
p 428 96 39.04792
p 429 97 39.422905
p 430 96 40.048603
p 431 95 41.040756
p 432 96 44.249332
p 433 96 46.09679
p 434 95 47.238293
p 435 95 49.192886
p 436 95 51.047417
p 437 96 52.328312
p 438 96 54.02661
p 439 96 57.02738
p 440 95 60.102684
p 441 96 61.31227
p 442 96 62.039364
p 443 96 65.00527
p 444 97 67.121605
p 445 96 70.020584
p 446 95 71.30628

c 11 8.007981
p 407 143 11.019525
p 408 144 11.019525
p 409 143 11.1119585
p 410 144 11.120765
p 411 145 11.131018
p 412 146 11.131018
p 413 145 12.0105505
p 414 144 12.087341
p 415 145 12.23114
p 416 144 13.030902
p 417 145 13.061771
p 418 145 13.068056
p 419 144 14.017365
p 419 143 14.142494
p 420 142 14.167102
p 420 141 14.167102
p 421 141 15.08813
p 422 140 15.217572
p 422 139 15.28337
p 423 138 16.02291
p 424 137 16.477106
p 425 136 17.092707
p 426 135 18.037798
p 427 135 18.418177
p 428 134 19.027506

c 12 20.945637
p 411 131 13.177808
p 411 132 13.0259695
p 411 133 13.0259695
p 412 130 14.069405
p 413 129 15.010855
p 414 128 15.021122
p 415 127 16.180677
p 416 126 16.180677
p 417 127 17.027826
p 418 128 17.0453
p 419 127 18.042255
p 420 126 18.054518
p 421 125 19.14532
p 422 124 20.11629
p 423 123 21.082996
p 424 124 21.082996
p 425 123 22.152596
p 426 123 22.178698
p 427 122 23.024094
p 428 122 24.370779
p 429 121 24.370779
p 430 120 25.010555
p 431 119 26.051188
p 432 118 28.0217
p 432 117 29.399176
p 433 116 30.345894
p 434 115 32.05625
p 434 114 34.032692
p 435 113 36.0589
p 436 112 37.082756
p 436 111 39.00308
p 437 112 39.24275
p 436 113 36.37872
p 435 114 34.123444

c 13 19.086681
p 425 45 62.131138
p 426 45 62.131138
p 426 44 63.357246
p 426 43 66.195564
p 426 42 67.4717
p 426 41 67.4717
p 427 40 68.10997
p 427 39 71.12654
p 426 38 73.04671
p 427 37 73.15986
p 427 36 74.366646
p 427 35 74.48606
p 428 34 77.35309
p 428 33 79.05981
p 428 32 80.33283
p 429 31 81.35744
p 430 30 83.29427
p 430 29 85.061386
p 431 28 87.34196
p 432 27 89.255806
p 433 28 89.26432
p 432 29 87.29007
p 431 30 85.38394
p 430 31 83.237045
p 429 32 81.21782

c 14 75.37575
p 426 64 47.0299
p 427 63 51.081413
p 428 62 55.19732
p 429 61 57.33578
p 430 60 59.390728
p 431 59 62.455784
p 431 58 64.24038
p 432 57 66.36816
p 433 56 68.27818
p 434 55 70.373825
p 435 54 72.030754
p 436 53 75.06458
p 437 53 78.011246
p 438 52 79.38813
p 439 52 82.273254
p 440 51 84.33427
p 441 51 86.217
p 442 50 88.044785
p 443 51 89.0095
p 444 51 92.03289
p 445 50 95.00584
p 446 51 96.245445
p 447 50 97.13636
p 448 51 98.021255
p 449 50 100.47271
p 450 51 103.07687
p 451 50 103.218
p 452 49 105.27717
p 453 50 108.05072
p 454 49 110.135864
p 455 48 111.14418
p 456 48 113.177
p 457 49 116.375946
p 458 48 118.379715
p 459 48 119.35884
p 460 48 121.082924
p 461 48 122.40565

c 15 46.06637
p 429 50 64.15931
p 430 49 64.15931
p 431 49 65.40567
p 432 48 67.32791
p 433 47 69.11917
p 434 47 71.26379
p 435 46 74.129555
p 436 45 77.00632
p 437 44 79.46295
p 438 43 82.38245
p 439 43 85.1764
p 440 43 87.11347
p 441 42 89.272385
p 442 41 90.20353
p 443 41 93.10567
p 444 41 96.0619
p 445 41 99.08534
p 446 41 100.090515
p 447 41 102.09313
p 448 41 103.05443
p 449 41 106.02827
p 450 41 108.23979
p 451 40 110.22568

c 16 33.13285
p 437 146 20.037046
p 438 147 20.037046
p 439 147 21.088285
p 440 146 21.088285
p 440 145 21.381353
p 441 144 22.147
p 440 143 22.147
p 440 142 22.263733
p 441 141 23.16905
p 442 140 24.133701
p 443 139 25.030079
p 444 138 26.075954
p 445 137 26.227945
p 446 136 27.145813
p 447 135 27.145813
p 447 134 28.114315
p 446 133 29.147541
p 447 132 30.241272
p 446 131 30.425192
p 446 130 31.386248
p 446 129 32.06803
p 446 128 33.141235
p 447 127 33.148697
p 446 126 34.152058
p 447 125 36.190144
p 446 124 37.285015
p 447 123 37.285015
p 447 122 38.073994
p 447 121 38.409252
p 448 120 39.30908
p 449 120 40.1237
p 450 119 41.02558
p 449 118 43.098312
p 449 117 44.27063
p 450 116 45.066174
p 451 115 46.0322
p 450 114 46.278767
p 450 113 48.050865
p 450 112 49.299217
p 450 111 51.140465
p 450 110 53.1699

c 17 65.20083
p 449 171 15.139931
p 449 172 15.139931
p 450 172 15.140416
p 451 171 15.1668825
p 452 170 16.086279
p 452 169 16.391058
p 453 168 16.391058
p 453 167 17.136486
p 454 166 17.136486
p 454 165 18.061321
p 455 164 18.215488
p 455 163 19.047564
p 455 162 19.047564
p 456 161 19.161926
p 457 160 19.313915
p 456 159 20.033772
p 455 158 20.261755
p 456 157 21.016745
p 456 156 21.202414
p 457 155 21.202414
p 456 154 22.093546
p 456 153 23.425173
p 457 152 24.421005
p 458 151 24.421005
p 459 150 26.076118
p 460 149 26.099268
p 461 148 28.124088
p 462 147 29.067959
p 463 146 30.018015
p 463 145 31.021189
p 463 144 31.021189
p 464 144 31.040272
p 465 143 32.29841
p 466 144 33.232388
p 467 144 34.223267
p 468 143 35.048027
p 469 143 36.277836
p 470 142 37.133247
p 471 141 38.10187
p 471 140 38.107834
p 471 139 39.101948
p 472 138 41.373707
p 473 137 42.267303
p 474 137 42.267303
p 475 136 44.19831
p 476 135 45.023746
p 477 135 46.00421
p 478 134 47.465477
p 479 134 48.15768
p 480 134 49.253456
p 481 134 51.236404
p 482 133 51.236404
p 483 132 52.10871
p 484 132 53.17619
p 485 131 54.29923
p 486 131 56.14023
p 486 130 57.19523
p 487 129 58.307026
p 487 130 58.308834
p 488 131 59.071865
p 489 130 59.14181
p 490 130 61.343357
p 491 130 63.290504
p 492 130 65.42636
p 493 129 67.246155
p 494 128 69.0652
p 495 128 71.30083
p 495 127 72.46733
p 496 127 74.233345
p 496 126 75.27116
p 497 126 77.191444
p 497 125 78.034
p 498 125 80.34076

c 18 30.005526
p 459 163 19.080584
p 459 164 19.080584
p 460 164 19.369123
p 461 165 19.252047
p 460 166 19.120346
p 460 167 18.125378
p 459 168 18.099752
p 459 169 17.171446
p 459 170 17.171446
p 460 162 20.204416
p 461 161 21.190432
p 462 160 22.212296
p 463 159 24.09663
p 464 158 25.006348
p 464 157 26.092
p 465 156 27.276657
p 466 155 29.14161
p 467 154 31.237576
p 468 153 32.061672
p 469 153 34.069466
p 470 152 36.256504
p 471 152 38.096985
p 472 151 40.192406
p 473 150 42.121735
p 474 149 44.16562
p 475 148 45.26473
p 476 147 46.082638
p 477 146 47.236645
p 478 145 48.237858
p 479 145 49.08611

c 19 -47.987057
p 460 77 99.22799
p 461 78 97.41157
p 461 79 95.32672
p 462 80 92.438324
p 463 81 90.36683
p 463 82 88.127945
p 464 83 86.25447
p 465 84 83.003235
p 464 85 80.15697
p 465 86 78.031364
p 465 87 75.117455
p 466 88 73.48572
p 466 89 72.264244
p 467 90 69.3248
p 468 91 67.35552
p 469 92 64.14198
p 470 93 61.298676
p 469 94 60.062904
p 468 95 58.484547
p 467 96 58.137978
p 467 97 58.137978
p 467 98 57.22145
p 466 99 56.027885
p 466 100 54.396202
p 466 101 53.49712
p 465 102 52.32065
p 464 103 52.138336
p 464 104 51.240932
p 463 104 51.240932
p 461 76 102.06349

c 20 84.08124
p 468 121 38.169853
p 468 122 38.169853
p 469 120 39.399574
p 470 119 39.399574
p 471 118 40.114082
p 472 117 41.192776
p 473 116 43.077095
p 474 115 44.20921
p 475 114 46.01817
p 476 114 47.051407
p 477 114 49.21068
p 478 113 50.09267
p 479 112 51.090515
p 480 112 54.26485
p 481 112 56.090153
p 482 111 56.483406
p 483 110 58.428375
p 484 109 61.18427
p 485 108 63.247097
p 485 107 64.49382
p 486 106 66.06125
p 486 105 67.06235
p 487 104 68.259544
p 488 103 70.442474
p 489 103 72.241455
p 490 103 74.2188
p 491 102 76.25888
p 492 101 78.284004
p 493 101 79.353424
p 494 100 82.09949
p 495 99 84.09178
p 496 99 84.33509
p 497 99 87.15309
p 498 98 89.19676
p 499 97 91.17855
p 500 97 92.232704
p 501 96 94.063354
p 502 95 95.0269
p 503 95 96.152504
p 503 94 98.103294
p 504 95 100.018814
p 505 94 103.044334
p 506 95 105.012276
p 507 95 107.25765
