//fileLoc: inputData/dem10x10.png
//fluxMulti: 2.0 channelCutOff: 20
# 250

c 0 8.898739
p 139 32 12.414459
p 140 31 13.230829
p 141 30 13.235302
p 141 29 13.241994
p 141 28 13.241994
p 142 28 13.322196
p 143 27 13.44424
p 143 26 14.025076
p 143 25 14.096706
p 143 24 14.221691
p 143 23 14.221691
p 144 22 14.404543
p 145 21 15.186344
p 146 20 15.265228
p 147 19 15.355161
p 148 18 15.385446
p 149 19 16.202719
p 150 19 16.202719
p 151 19 16.410126
p 152 20 17.110506
p 153 19 17.200186
p 154 18 17.979752
p 155 17 18.373959
p 156 17 19.307587
p 157 16 20.093695
p 158 15 20.547384
p 159 14 21.313198

c 1 25.21529
p 144 25 14.261211
p 145 24 14.317712
p 146 24 14.457914
p 147 23 15.229308
p 148 22 15.352808
p 149 22 15.623041
p 150 22 16.1519
p 151 22 16.302483
p 152 22 16.427418
p 153 22 17.210342
p 154 22 17.426844
p 155 21 18.198404
p 156 21 18.526505
p 157 21 19.277231
p 158 21 19.86171
p 159 20 20.344273
p 160 19 21.177073
p 161 18 21.241201
p 162 17 22.306152
p 163 18 23.440933
p 164 17 24.344904
p 165 16 25.019356
p 166 15 26.136574
p 167 14 28.036064
p 168 13 29.209036
p 169 12 30.62246
p 170 11 32.09534
p 171 10 33.50865
p 172 9 34.555664
p 172 8 36.152782
p 173 7 38.214928
p 174 6 39.4765

c 2 50.126194
p 155 41 11.2975645
p 156 41 11.2975645
p 156 40 11.901328
p 157 39 12.303984
p 157 38 12.339179
p 157 37 12.433798
p 156 36 13.089478
p 156 35 13.323569
p 156 34 14.097422
p 157 33 14.280689
p 156 32 14.298738
p 156 31 15.204866
p 157 30 15.68535
p 158 29 16.157549
p 159 28 16.897278
p 160 27 17.910767
p 161 26 18.349638
p 161 25 19.03008
p 162 24 20.102646
p 163 23 21.192791
p 164 22 22.133389
p 165 21 23.028833
p 166 20 24.100767
p 167 19 25.182764
p 168 18 26.2904
p 169 17 27.483662
p 170 16 28.49385
p 171 15 29.247147
p 172 15 29.299435
p 173 15 30.377142
p 174 14 31.511236
p 175 15 33.024982
p 176 14 33.53326
p 177 13 34.546463
p 178 12 35.665348
p 179 11 36.276493
p 180 10 37.323933
p 181 9 39.400818
p 182 8 40.24057
p 182 7 40.467834
p 182 6 42.380547
p 183 5 43.49522
p 183 4 44.10546
p 183 3 44.1689
p 184 2 46.541515
p 184 1 46.541515
p 185 0 47.28581
p 186 0 49.740326
p 187 0 51.988686
p 188 0 51.988686
p 189 0 57.043266
p 190 0 61.42376

c 3 29.440239
p 160 42 11.1825
p 161 42 11.1825
p 162 42 11.190679
p 163 42 11.293301
p 164 41 11.907476
p 165 40 12.315745
p 166 39 12.775706
p 166 38 13.328429
p 167 37 13.54281
p 166 36 14.159457
p 166 35 14.458357
p 167 34 14.458357
p 167 33 15.155965
p 168 32 16.0593
p 169 31 16.219215
p 169 30 17.036907
p 169 29 17.472229
p 170 28 19.376122
p 171 27 20.948505
p 172 26 22.298573
p 173 25 23.342144
p 174 24 24.217936
p 175 23 26.439062
p 176 22 27.39675
p 177 22 28.444462
p 178 22 29.58178
p 179 21 31.324783
p 180 21 34.292526
p 181 21 36.446003
p 182 20 38.348045
p 183 19 40.622738

