//fileLoc: inputData/dem20x20.png
//fluxMulti: 2.0 channelCutOff: 20
# 783

p 365 65 26.330235
p 366 64 27.146254
p 367 63 29.037546
p 368 62 30.019836
p 368 61 30.388748
p 369 62 31.035883
p 370 63 32.28569
p 371 62 34.161037
p 372 61 36.113564
p 373 60 37.364704
p 374 59 38.153957
p 375 58 39.107265
p 376 57 41.05783
p 377 56 43.166126
p 378 55 44.214333
p 378 54 45.006554
p 379 53 46.179474
p 380 53 47.091663
p 381 52 48.041195
p 382 51 49.0223

c 8 4.0869074
p 343 94 11.07963
p 344 94 11.07963
p 345 94 12.008954
p 346 93 12.129802
p 347 92 12.312027
p 348 91 12.312027
p 349 91 13.0009
p 350 92 13.078533
p 351 92 13.128887
p 352 93 13.1916485
p 353 94 13.1916485
p 354 95 13.252742
p 354 96 14.038467
p 355 97 14.061665
p 356 98 14.095439
p 357 98 14.210283
p 358 98 14.210283
p 359 98 14.382965
p 360 99 14.4061165
p 361 100 15.166537
p 362 99 15.166537

c 9 14.988427
p 346 76 13.028298
p 347 77 13.028298
p 348 78 13.106998
p 349 78 13.269366
p 350 77 14.106263
p 350 76 14.106263
p 349 75 14.135124
p 350 74 14.206683
p 350 73 15.033455
p 351 72 15.387627
p 352 71 16.077318
p 353 71 16.265137
p 354 70 17.137787
p 355 69 18.160648
p 355 68 19.36172
p 356 67 21.05501
p 357 66 22.044197
p 357 65 23.404198
p 358 64 24.049068
p 359 64 25.01971
p 360 63 26.407566
p 360 62 27.29293
p 361 61 28.016726

c 10 23.124401
p 352 82 13.101074
p 352 83 13.101074
p 353 83 13.185976
p 354 83 13.185976
p 355 82 14.0947
p 356 81 14.191041
p 357 81 14.238334
p 358 81 15.0362425
p 359 80 15.055253
p 360 79 15.263628
p 361 78 16.098396
p 362 77 16.202868
p 363 77 18.067593
p 364 76 19.007086
p 365 75 20.385462
p 366 74 22.420956
p 367 73 24.390934
p 368 72 25.330137
p 368 71 26.298195
p 369 70 27.085289
p 370 70 28.493586
p 371 69 30.066519
p 372 68 31.140947
p 373 68 32.43415
p 374 67 34.07692
p 375 66 35.195576
p 376 65 36.059093
p 375 64 36.225475

c 11 10.083561
p 369 90 18.04065
p 370 89 18.04065
p 371 89 19.104767
p 372 88 19.28939
p 373 88 20.298193
p 374 88 21.01661
p 375 88 21.022314
