# 597

p 438 43 82.049644
p 439 42 85.207
p 440 43 87.1395
p 441 42 89.40565
p 442 41 90.054565
p 443 40 93.146614
p 444 41 96.150795
p 445 41 99.05629
p 446 40 100.28168
p 447 40 102.091095
p 448 41 103.24709
p 449 40 106.096825
p 450 41 108.14196
p 451 40 110.25023
p 452 40 112.12318

c 13 56.851063
p 425 64 46.416996
p 426 65 46.460175
p 427 65 48.003437
p 427 66 49.184395
p 428 65 50.281525
p 429 64 51.211174
p 428 63 53.280743
p 429 62 55.385258
p 430 61 57.018166
p 430 60 59.23317
p 431 59 62.15103
p 431 58 64.37449
p 432 57 66.37927
p 433 56 68.090836
p 434 55 70.03675
p 435 54 72.26033
p 436 53 75.281204
p 437 53 78.148674
p 438 52 79.12543
p 439 51 82.42384
p 440 51 84.16903
p 441 51 86.192116
p 442 50 88.0614
p 443 51 89.26779
p 444 51 92.35317
p 445 50 95.3113
p 446 51 96.22246
p 447 50 97.4107
p 448 50 98.13399
p 449 50 100.26165
p 450 51 103.26806

c 14 36.879852
p 427 35 74.39894
p 428 34 77.48014
p 429 33 79.080574
p 428 32 80.31415
p 429 31 81.472115
p 430 30 83.035965
p 431 29 85.19713
p 431 28 87.03222
p 432 29 87.318855
p 433 28 89.485596
p 434 27 91.07296
p 433 26 91.35095
p 432 25 94.0908
p 433 25 94.108154
p 434 24 96.29768
p 435 23 98.17492
p 434 22 101.06997
p 435 21 104.31998
p 436 20 106.00363
p 436 19 109.02953
p 436 18 111.27879

c 15 34.146564
p 427 97 37.22581
p 428 96 39.07815
p 429 97 39.31056
p 430 96 40.47491
p 431 95 41.123695
p 432 94 44.19673
p 433 94 46.000515
p 433 93 46.009773
p 434 94 47.04613
p 435 94 49.091904
p 435 95 49.227028
p 436 96 51.012764
p 437 97 52.207653
p 438 96 54.105526
p 439 97 57.15576
p 440 98 60.082123
p 441 97 61.006344
p 442 97 62.33431
p 443 96 65.087685
p 444 97 67.446266
p 445 96 70.2167
p 446 95 71.372375

c 16 69.104805
p 430 64 54.11998
p 431 65 56.053738
p 432 65 57.021004
p 433 66 58.02698
p 434 67 58.20775
p 434 68 59.185112
p 435 68 60.256287
p 436 67 63.318634
p 437 66 66.19021
p 438 66 69.45937
p 439 65 71.256386
p 440 64 74.23619
p 441 65 77.241135
p 442 64 80.21631
p 443 63 82.1378
p 444 62 84.475845
p 445 62 87.16457
p 446 62 88.16492
p 447 61 90.03275
p 448 61 92.1464
p 449 60 95.4207
p 450 59 98.04706
p 451 59 99.37503
p 452 59 101.311424
p 453 59 104.30717
p 454 59 106.10088
p 455 58 106.27028
p 456 58 108.211136
p 457 57 111.15825
p 458 57 113.13338
p 459 57 115.373726
p 460 56 117.30033
p 461 55 119.25294
p 462 55 121.096825
p 463 54 123.224785

c 17 32.138397
p 446 71 86.16637
p 447 70 87.148735
p 448 70 90.26527
p 449 70 92.09652
p 450 69 94.493004
p 451 69 95.37404
p 452 69 97.02313
p 453 68 100.06582
p 454 68 102.00842
p 455 68 104.062195
p 456 67 106.120384
p 457 66 108.0015
p 458 66 110.062706
p 459 65 113.06423
p 460 65 114.0124
p 461 64 116.31077
p 462 63 118.30476

c 18 47.099895
p 458 75 105.13159
p 459 76 103.216354
p 460 77 99.42789
p 461 78 97.208466
p 461 79 95.14891
p 462 80 92.459595
p 463 81 90.16953
p 464 82 88.10715
p 465 83 85.39512
p 466 84 83.03269
p 465 85 80.42697
p 466 86 78.002106
p 465 87 75.18919
p 465 88 74.329155
p 466 88 73.27347
p 466 89 72.45833
p 467 89 72.14735
p 467 90 69.06732
p 468 91 67.0526
p 469 92 64.25136
p 470 93 61.223515
p 469 94 60.33927
p 468 95 58.058567
p 467 96 58.031696

c 19 24.838058
p 458 150 25.156162
p 459 149 26.03701
p 460 148 27.409067
p 461 147 28.437103
p 462 146 30.15847
p 463 145 31.097576
p 464 144 31.448978
p 465 143 32.034073
p 466 143 33.05274
p 467 144 34.30044
p 468 143 35.07037
p 469 143 36.43862
p 469 142 37.31724
p 470 142 37.351547
p 470 141 38.081867
p 471 141 38.135986
p 472 142 40.189777
p 473 143 42.42087
p 474 143 43.01443
p 475 142 45.336548
p 476 143 46.080837
p 477 142 48.121014
p 478 142 49.086628
p 458 151 24.24857

c 20 33.915077
p 458 168 17.387363
p 459 167 18.073153
p 459 166 19.179634
p 460 165 19.33782
p 460 164 19.398222
p 461 163 20.175236
p 462 162 21.065125
p 463 161 22.18969
p 464 160 23.031134
p 464 159 24.360842
p 464 158 25.313139
p 465 157 26.089212
p 466 156 28.033436
p 467 155 30.32975
p 468 154 32.402042
p 469 153 34.39216
p 470 152 36.132206
p 471 152 38.29438
p 472 151 40.29324
p 473 150 42.314953
p 474 149 44.197567
p 475 148 45.178482
p 476 148 46.21898
p 477 148 47.12386
p 478 147 48.038643
p 479 146 49.068172
p 480 146 50.142075
p 481 146 51.037525
p 459 169 17.122448

c 21 25.847176
p 466 28 118.09629
p 467 27 117.09824
p 468 26 115.15417
p 469 25 112.45785
p 470 24 110.013084
p 471 23 107.249115
p 472 22 105.0066
p 473 21 103.0607
p 474 20 100.19561
p 475 19 98.12102
p 476 18 95.025246
p 477 17 94.22321
p 478 18 93.37719
p 479 17 93.228325
p 479 16 92.35604
p 480 15 92.249115

c 22 40.998314
p 471 93 63.09395
p 472 92 64.03398
p 473 91 64.072914
p 473 90 66.0075
p 474 89 67.44892
p 475 88 68.05442
p 476 89 70.0777
p 477 90 73.43637
p 478 90 76.22117
p 479 89 79.4558
p 480 90 81.321465
p 481 89 83.20384
p 482 89 84.013985
p 483 89 88.123055
p 484 90 91.0257
p 485 89 93.020096
p 486 89 95.029366
p 487 88 98.121895
p 488 88 100.33874
p 489 89 102.25464
p 490 88 104.09226

c 23 36.310917
p 471 139 39.293102
p 472 138 41.20674
p 473 137 42.03471
p 474 137 42.37127
p 475 136 44.17056
p 476 135 45.36529
p 477 134 46.442627
p 478 134 47.39009
p 479 134 48.21923
p 480 134 49.023773
p 481 134 51.113968
p 482 133 51.167126
p 483 132 52.16218
p 484 132 53.3964
p 484 131 54.24094
p 485 131 54.241776
p 485 130 56.003242
p 486 131 56.150703
p 487 131 58.186146
p 488 131 59.072533
p 488 130 59.19679
p 489 130 59.335625
p 489 129 60.358723
p 490 130 61.219093
p 491 130 63.088364
p 492 131 65.09829
p 492 130 65.19908
p 492 129 66.01993
p 493 130 67.11554
p 493 129 67.33376
p 493 128 68.3005
p 494 128 69.213104
p 494 127 71.42314
p 495 126 74.392784
p 471 140 38.081867

c 24 47.894157
p 474 63 118.036865
p 474 64 115.11609
p 474 65 112.11901
p 474 66 110.170235
p 475 67 108.14476
p 475 68 106.33027
p 475 69 105.108025
p 476 70 102.07969
p 476 71 100.41706
p 477 72 98.03192
p 476 73 95.05388
p 476 74 93.23857
p 477 75 91.18372
p 478 76 89.26779
p 479 77 87.06625
p 479 78 85.085175
p 479 79 82.36261
p 480 80 81.21375
p 479 81 79.43842
p 478 81 78.245316
p 478 82 77.02042
p 477 83 75.263405
p 476 84 73.41385
p 476 85 73.018105
p 475 86 71.025536
p 475 87 70.14271

c 25 9.137405
p 476 193 16.171453
p 477 192 17.031185
p 478 191 17.169044
p 477 190 17.491455
p 478 189 18.17578
p 477 188 18.25545
p 478 187 19.085943
p 479 186 20.188662
p 480 185 21.180286
p 481 184 22.381083
p 482 183 23.202316
p 483 182 24.013834
p 484 181 25.150656
p 476 194 16.076456
p 477 195 16.058468
p 478 195 16.01325

c 26 25.035957
p 478 36 117.290306
p 479 35 115.49033
p 480 34 113.42385
p 481 33 110.22521
p 482 32 108.12938
p 483 31 107.361
p 484 30 105.44716
p 485 29 103.27748
p 486 29 102.28869
p 486 28 102.128494
p 487 28 100.31993
p 487 27 100.313866
p 488 27 98.18658
p 488 26 97.31779
p 489 26 95.24914
p 489 25 94.35168
p 490 25 94.1539
p 490 24 93.32666
p 491 24 93.22556
p 491 23 92.25435

c 27 43.971413
p 478 170 25.35872
p 479 170 26.08208
p 480 169 26.22068
p 481 169 27.050606
p 482 168 27.105257
p 482 167 28.093243
p 483 168 28.134455
p 484 167 29.360397
p 485 167 30.09482
p 486 168 30.38977
p 487 167 31.099163
p 488 167 32.13282
p 489 167 33.143063
p 490 166 35.002438
p 491 166 35.36444
p 492 167 37.252007
p 493 167 38.21856
p 494 166 39.11271
p 495 167 41.186016
p 496 166 42.20811
p 497 165 43.25051
p 498 165 44.16704
p 499 164 45.014256
p 500 164 45.12893
p 501 164 46.13731
p 502 164 47.319267
p 503 164 47.426662
p 503 163 48.124485
p 504 164 49.249256
p 505 163 50.42825
p 506 163 50.481598
p 507 163 52.120937
p 508 163 54.087223
p 509 162 55.313843
p 510 162 56.203186
p 511 161 58.28194
p 512 160 59.141624
p 513 160 60.468327
p 514 159 63.463165
p 515 158 64.26135
p 515 157 65.47786
p 516 157 66.14019
p 515 156 67.24869
p 516 155 68.15562
p 517 154 69.24115
p 518 155 69.33013

c 28 43.806377
p 482 111 56.45236
p 483 110 58.351635
p 484 109 61.18271
p 485 109 63.102978
p 485 108 63.107975
p 485 107 64.479004
p 486 108 65.024445
p 487 108 68.01884
p 488 108 71.14273
p 489 107 73.348114
p 490 108 77.31864
p 491 109 80.1858
p 492 108 83.11603
p 493 109 87.21514
p 494 110 89.2003
p 495 111 92.190994
p 496 110 94.195114
p 497 110 96.03651
p 498 111 98.198235
p 499 110 100.258736

c 29 19.018513
p 483 162 31.138187
p 484 161 32.180424
p 485 160 32.19912
p 486 159 33.08018
p 487 159 34.054783
p 486 158 34.487854
p 485 157 36.02548
p 485 156 38.177334
p 484 155 40.03532
p 484 154 41.193913
p 485 153 43.042213
p 484 152 43.07432
p 485 151 45.23574
p 485 150 47.1525
p 485 149 48.116184
p 484 148 49.263657
p 485 147 50.1567

c 30 15.125555
p 484 193 19.114218
p 485 193 20.036901
p 486 194 20.107546
