//fileLoc: inputData/dem10x10.png
//fluxMulti: 2.0 channelCutOff: 20
# 263

c 0 8.854187
p 139 32 12.504131
p 140 31 13.183739
p 141 30 13.303171
p 141 29 13.246988
p 141 28 13.246988
p 142 28 13.352795
p 143 27 13.509886
p 143 26 13.994438
p 143 25 14.194347
p 143 24 14.233459
p 143 23 14.233459
p 144 22 14.465149
p 145 21 15.125811
p 146 20 15.313168
p 147 19 15.4268675
p 148 18 15.442356
p 149 19 16.123161
p 150 19 16.267641
p 151 19 16.462944
p 152 19 17.031395
p 153 19 17.2605
p 154 18 17.935503
p 155 17 18.467201
p 156 17 19.261002
p 157 16 20.06917
p 158 15 20.59499
p 159 14 21.358318

c 1 25.301407
p 144 25 14.251845
p 145 24 14.344554
p 146 24 14.498199
p 147 23 15.191362
p 148 22 15.397984
p 149 22 15.696011
p 150 22 16.15628
p 151 22 16.370949
p 152 22 16.532206
p 153 22 17.20595
p 154 22 17.508293
p 155 21 18.266998
p 156 21 18.615417
p 157 21 19.355452
p 158 21 19.928667
p 159 20 20.418911
p 160 19 21.20202
p 161 18 21.325146
p 162 17 22.472054
p 163 18 23.348566
p 164 17 24.298086
p 165 16 25.019356
p 166 15 26.231653
p 167 14 27.992146
p 168 13 29.259432
p 169 12 30.605465
p 170 11 32.102432
p 171 10 33.62807
p 172 9 34.68165
p 172 8 36.254833
p 173 7 38.253838
p 174 6 39.553253

c 2 44.545876
p 158 27 17.336735
p 159 28 16.877882
p 160 27 17.86241
p 161 26 18.428267
p 161 25 19.04137
p 162 24 20.122738
p 163 23 21.16798
p 164 22 22.098743
p 165 21 23.03939
p 166 20 24.10445
p 167 19 25.177607
p 168 18 26.293594
p 169 17 27.43571
p 170 16 28.524338
p 171 15 29.281607
p 172 15 29.363317
p 173 15 30.42869
p 174 14 31.594604
p 175 15 33.048424
p 176 14 33.58964
p 177 13 34.681084
p 178 12 35.88254
p 179 11 36.44342
p 180 10 37.368988
p 181 9 39.400818
p 182 8 40.24057
p 182 7 40.513058
p 182 6 42.46048
p 183 5 43.500134
p 183 4 44.122818
p 183 3 44.1689
p 184 2 46.65443
p 184 1 46.65443
p 185 0 47.28839
p 186 0 49.80364
p 187 0 52.00451
p 188 0 52.00451
p 189 0 57.043266
p 190 0 61.42376

c 3 29.341682
p 163 42 11.317566
p 164 41 11.875703
p 165 40 12.36695
p 166 39 12.833412
p 166 38 13.316096
p 167 37 13.585947
p 166 36 14.15302
p 166 35 14.515399
p 167 34 14.544936
p 167 33 15.21608
p 168 32 16.121658
p 169 31 16.2854
p 169 30 17.047358
p 169 29 17.502972
p 170 28 19.336166
p 171 27 20.880331
p 172 26 22.265663
p 173 25 23.449188
p 174 24 24.337084
p 175 23 26.595522
p 176 22 27.436281
p 177 22 28.463629
p 178 22 29.62595
p 179 21 31.403399
p 180 21 34.335472
p 181 21 36.471478
p 182 20 38.410034
p 183 19 40.65925

c 4 74.392715
p 170 57 9.391146
p 171 57 9.391146
p 172 57 10.088338
p 173 57 10.400168
p 174 57 10.418199
p 175 57 11.026026
p 176 56 11.268018
p 177 57 11.316236
p 178 56 12.490877
p 179 55 13.214899
p 180 54 13.979749
p 181 53 14.903204
p 182 52 15.672696
p 183 51 16.234423
p 184 50 17.080158
p 185 49 18.141312
p 186 48 18.828644
p 186 47 19.340508
p 187 46 20.12335
p 188 45 21.179884
p 189 44 22.300447
p 190 43 23.574013
p 191 42 24.848774
p 192 41 25.155516
p 192 40 26.247408
p 192 39 28.17342
p 193 38 28.409285
p 193 37 29.663403
p 193 36 29.663403
p 193 35 31.470562
p 193 34 31.470562
p 193 33 32.106297
p 193 32 33.286335
p 193 31 34.287857
p 194 30 35.45351
p 194 29 35.513577
p 194 28 38.95979
p 195 27 39.234287
p 195 26 39.234287
p 196 25 40.464035
p 197 24 42.07695
p 198 24 44.59304
p 199 23 44.59304
p 200 22 46.20495
p 200 21 48.507812
p 200 20 49.53512
p 201 19 52.443817
p 201 18 52.443817
p 201 17 55.084557
p 201 16 57.556793
p 201 15 57.58435
p 201 14 60.498604
p 202 13 61.128933
p 202 12 64.550644
p 201 11 66.58723
p 201 10 68.18146
p 202 9 72.61092
p 202 8 75.40863
p 203 7 78.70857
p 203 6 83.78386

c 5 82.85425
p 176 71 7.1966133
p 176 72 7.1966133
p 177 72 7.264045
p 178 71 7.264045
p 178 70 7.2800407
p 178 69 7.991188
p 179 68 8.332531
p 179 67 8.297216
p 180 66 8.952249
p 180 65 9.322121
p 181 64 10.019763
p 182 63 10.476614
p 182 62 10.701998
p 182 61 11.352541
p 183 60 12.04815
p 184 59 12.484066
p 183 58 13.1236925
p 183 57 13.38108
p 184 57 13.493246
p 185 56 14.895547
p 184 56 14.358992
p 185 55 15.54772
p 186 55 15.946845
p 187 54 16.454536
p 187 53 17.181118
p 188 52 17.994514
p 189 51 18.217112
p 190 50 19.656488
p 191 49 20.943335
p 192 48 22.05589
p 193 47 23.326244
p 194 46 24.503517
p 195 45 25.443693
p 196 44 26.740551
p 197 43 28.123774
p 198 42 29.320818
p 199 41 30.530231
p 200 40 32.335987
p 201 39 32.464424
p 202 38 34.136276
p 203 37 35.570045
p 204 37 36.28725
p 205 36 36.28725
p 206 35 38.49973
p 207 35 39.079803
p 208 34 40.136868
p 209 33 43.468624
p 210 32 43.468624
p 211 31 45.5347
p 210 30 47.729378
p 210 29 50.553017
p 210 28 51.625
p 211 27 53.621613
p 211 26 56.431232
p 211 25 56.431232
p 212 24 57.182793
p 212 23 60.27917
p 212 22 62.168705
p 212 21 66.26822
p 213 20 68.30074
p 213 19 71.20325
p 213 18 73.36495
p 213 17 74.388855
p 213 16 79.21682
p 214 15 81.160515
p 215 14 85.26563
p 216 13 90.05086

c 6 46.426746
p 188 80 6.1424727
p 189 79 6.1424727
p 190 78 6.337102
p 190 77 6.9395933
p 190 76 7.1982136
p 190 75 7.2558475
p 190 74 7.881623
p 190 73 8.199866
p 190 72 8.25415
p 190 71 8.990761
p 191 70 9.41738
p 191 69 9.847294
p 192 68 10.304407
p 193 67 10.902345
p 194 66 11.734239
p 195 65 12.524347
p 196 64 13.211103
p 197 63 13.948238
p 198 62 14.618917
p 199 61 14.692814
p 198 60 15.408924
p 199 59 15.940599
p 200 58 16.257315
p 201 57 17.590267
p 202 56 18.997326
p 203 55 19.86911
p 204 54 20.578068
p 205 53 22.473373
p 206 52 23.234362
p 207 52 24.72677
p 208 52 26.97893
p 209 51 28.270359
p 210 50 31.228504
p 211 49 33.38015
p 212 48 36.37871
p 213 48 37.675644
p 214 48 39.58194
p 215 47 41.57537
p 216 47 46.32105
p 217 47 49.2013
p 218 48 52.569218

c 7 32.259907
p 201 86 6.4937944
p 202 85 7.100048
p 203 86 6.982992
p 204 85 7.5923367
p 205 84 8.528881
p 206 83 9.267741
p 207 82 10.019855
p 208 81 11.022999
p 209 80 12.058563
p 210 79 12.813904
p 211 79 13.207185
p 212 78 13.945293
p 213 77 15.148827
p 214 76 16.2628
p 215 75 17.128128
p 216 74 18.252604
p 217 73 19.475311
p 218 72 20.356407
p 219 71 22.231495
p 220 70 23.767096
p 221 69 25.124353
p 222 68 26.678698
p 223 67 27.581274
p 223 66 29.221304
p 222 65 31.123316
p 223 64 32.33382
p 223 63 33.55079
p 223 62 36.54077
p 223 61 37.454655
p 223 60 38.7537

c 8 96.57721
p 206 91 7.0694013
p 207 90 7.4528546
p 208 89 8.057656
p 209 88 9.024131
p 210 87 9.468852
p 211 87 10.229588
p 212 86 11.102408
p 213 85 11.885366
p 214 84 12.584369
p 215 83 13.785962
p 216 82 14.502341
p 217 81 15.68006
p 218 80 16.777683
p 219 79 18.249695
p 220 78 19.174427
p 221 77 19.933132
p 222 76 20.95472
p 223 75 22.083447
p 224 74 22.618269
p 224 73 23.54811
p 225 72 24.569035
p 226 71 25.348837
p 227 71 27.15099
p 228 70 28.380545
p 229 69 29.661083
p 230 68 30.8016
p 230 67 31.743473
p 230 66 32.56438
p 230 65 33.592117
p 230 64 34.323883
p 231 63 35.636654
p 232 63 35.636654
p 233 62 37.235172
p 233 61 38.051395
p 234 60 39.447258
p 234 59 40.187656
p 235 58 42.300545
p 234 57 45.132248
p 233 56 46.276287
p 233 55 46.630993
p 232 54 47.44649
p 231 53 49.38511
p 231 52 51.390694
p 232 51 52.1986
p 232 50 54.537743
p 233 49 56.492615
p 233 48 58.438866
p 234 47 60.755188
p 235 46 63.973145
p 236 45 64.34212
p 237 44 68.28731
p 237 43 70.3719
p 237 42 73.33317
p 238 41 75.43494
p 239 40 79.82761
p 240 39 82.55923
p 241 38 87.742165
p 242 37 91.67949
p 243 36 96.418594
p 242 35 101.08807
p 242 34 103.646614

c 9 54.563087
p 206 101 5.6173677
p 207 100 6.1916885
p 208 99 6.196214
p 208 98 6.561655
p 209 97 7.2599583
p 210 96 7.663128
p 211 95 8.211874
p 212 94 8.377791
p 213 94 9.051464
p 214 93 9.692609
p 215 92 10.263053
p 216 91 10.901537
p 217 90 11.548628
p 218 89 12.512903
p 219 88 13.365597
p 220 87 14.033039
p 221 86 14.680003
p 222 85 15.176067
p 223 84 15.351652
p 224 83 16.586277
p 225 82 17.595173
p 226 81 18.42443
p 226 80 19.307919
p 227 79 20.43662
p 228 78 21.207373
p 228 77 21.79672
p 227 76 23.422758
p 228 75 25.15175
p 229 74 26.663183
p 230 73 28.598154
