//fileLoc: inputData/dem20x20.png
//fluxMulti: 2.0 channelCutOff: 20
# 771

c 0 7.0723934
p 292 25 17.872177
p 293 25 17.257051
p 294 26 17.162094
p 295 26 17.162094
p 296 26 17.528816
p 297 25 18.192928
p 298 24 18.192928
p 299 25 18.234062
p 300 25 18.529133
p 301 24 19.174864
p 302 23 19.174864
p 301 22 19.29908
p 300 21 19.491865
p 300 20 20.349033
p 301 19 21.03794
p 302 18 21.230364
p 303 17 21.693466
p 304 16 22.335344
p 305 15 22.335344
p 305 14 22.372576
p 304 14 22.399374
p 303 13 23.01876
p 302 12 23.129654
p 302 11 23.428417
p 303 10 24.216757
p 304 9 24.234488

c 1 11.607611
p 308 39 17.158813
p 308 40 17.158813
p 309 40 17.249067
p 310 39 18.054853
p 311 38 18.18739
p 312 37 18.5986
p 313 36 19.12752
p 314 35 19.12752
p 315 35 19.24871
p 316 34 19.827559
p 317 33 20.334208
p 318 33 20.549362
p 319 34 21.277401
p 320 33 21.979488
p 321 32 22.33683
p 322 31 22.504173
p 323 30 23.281109
p 324 29 23.34985
p 324 28 23.863932
p 325 27 24.350864
p 326 28 24.588697
p 327 27 25.635021
p 328 26 26.241875
p 329 25 26.99536
p 330 24 28.269794
p 331 23 28.766424

c 2 26.245386
p 312 32 19.154715
p 313 31 19.971788
p 314 30 20.197212
p 315 30 20.197212
p 316 31 20.35008
p 317 30 20.874554
p 318 29 21.092642
p 318 28 21.316315
p 319 27 22.194014
p 320 26 22.552502
p 321 26 22.552502
p 322 25 23.295769
p 323 24 24.120495
p 324 24 24.335033
p 325 24 25.561106
p 326 23 26.616434
p 327 22 27.339071
p 328 21 28.9534
p 329 20 30.006248
p 330 19 31.159483
p 331 18 32.16082
p 332 17 32.453926
p 333 16 33.622208
p 334 15 34.58896
p 335 14 35.44372
p 336 13 36.743565
p 337 12 37.338875
p 338 11 39.503838
p 339 10 40.367657
p 339 9 42.16427
p 340 8 43.221405
p 340 7 44.35792
p 340 6 45.4001

